 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 5.    Time:  17: 3:23
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  244   1763.49     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  245   1770.74     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  246   1778.00     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  247   1785.26     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  248   1792.51     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  249   1799.77     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  250   1807.03     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  251   1814.29     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  252   1821.54     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  253   1828.80     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  254   1836.06     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  255   1843.31     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  256   1850.57     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  257   1857.83     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  258   1865.09     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  259   1872.34     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  260   1879.60     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  261   1886.86     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  262   1894.11     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  263   1901.37     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  264   1908.63     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  265   1915.89     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  266   1923.14     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  267   1930.40     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  268   1937.66     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  269   1944.91     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  270   1952.17     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  271   1959.43     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  272   1966.69     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  273   1973.94     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  274   1981.20     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  275   1988.46     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  276   1995.71     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  277   2002.97     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  278   2010.23     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  279   2017.49     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  280   2024.74     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  281   2032.00     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  282   2039.26     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  283   2046.51     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  284   2053.77     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  285   2061.03     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  286   2068.29     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  287   2075.54     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  288   2082.80     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  289   2090.06     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
  290   2097.31     0.057     0.399       0.0   0.433E-01     0.255     0.000     1.000     1.000     1.000
